"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         254,      -5.166878324,      -2.279228876,      -2.235747713,       -2.23071687,        0.31355072
          0,           0,         255,      -5.180397084,      -2.292218844,      -2.245336141,      -2.238758898,      0.2997017808
          0,           0,         256,      -5.194216176,      -2.306773599,      -2.255579088,      -2.247491287,      0.2854965306
          0,           0,         257,      -5.208025952,      -2.322873684,      -2.266324387,      -2.256820632,      0.2712544137
          0,           0,         258,      -5.221474215,      -2.340450794,      -2.277392073,      -2.266633787,      0.2573426162
          0,           0,         259,      -5.234197815,      -2.359367705,      -2.288580388,      -2.276802941,       0.244145394
          0,           0,         260,      -5.245858524,      -2.379387612,      -2.299671291,      -2.287186619,      0.2320277362
          0,           0,         261,      -5.256172125,      -2.400141125,      -2.310432764,      -2.297624985,      0.2213034364
          0,           0,         262,      -5.264929671,       -2.42110195,      -2.320618884,      -2.307931905,      0.2122090047
          0,           0,         263,      -5.272010339,      -2.441589524,      -2.329976686,       -2.31789276,      0.2048854326
          0,           0,         264,      -5.277383161,      -2.460803716,      -2.338263398,      -2.327273994,       0.199373134
          0,           0,         265,      -5.281099527,      -2.477893132,       -2.34527375,      -2.335844354,      0.1956187403
          0,           0,         266,      -5.283281417,      -2.492057054,      -2.350870588,      -2.343402347,      0.1934892501
          0,           0,         267,      -5.284113598,      -2.502664751,      -2.355010007,      -2.349803285,      0.1927835018
          0,           0,         268,      -5.283838063,      -2.509368499,      -2.357749771,      -2.354978714,      0.1932410356
          0,           0,         269,      -5.282742007,      -2.512170293,      -2.359243859,      -2.358945328,      0.1945564149
          0,           0,         270,      -5.281139134,      -2.511416521,      -2.359722959,      -2.361801578,      0.1963990793
          0,           0,         271,       -5.27935118,      -2.507727622,      -2.359467935,      -2.363714502,      0.1984334185
          0,           0,         272,      -5.277692183,      -2.501885045,      -2.358783707,      -2.364900943,      0.2003346737
          0,           0,         273,      -5.276454313,      -2.494715536,      -2.357973296,      -2.365604236,      0.2018029017
